german,english
Unspezifische Allgemeinwörter,Unspecific general words
"Allgemeines, Interdisziplinäre Allgemeinwörter","General, Interdisciplinary general terms"
Telekommunikation und Verkehr,Telecommunications and transportation
"Fremdenverkehr, Hotel- und Gaststättengewerbe","Tourism, hotel and restaurant industry"
"Umweltschutz, Umweltbelastung","Environmental protection, environmental pollution"
"Raumordnung, Stadtplanung, Landschaftsgestaltung","Spatial planning, urban planning, landscape design"
"Öffentliche und private Bautätigkeit, Bau- und Bodenpolitik","Public and private construction activity, construction and land policy"
"Bauwirtschaft, Baubetrieb und Bodenmarkt","Construction industry, construction operations and land market"
"Natur, Naturwissenschaften allgemein","Nature, natural sciences in general"
Geowissenschaften,Geosciences
Reise,Journey
"Geografie, Heimat- und Länderkunde (Allgemeines)","Geography, local and regional studies (general)"
Physische Geografie,Physical geography
Anthropogeografie,Anthropogeography
"Personen zu Geodäsie, Kartografie","People related to geodesy, cartography"
"Hydrologie, Meereskunde","Hydrology, Oceanography"
Paläontologie,Paleontology
"Allgemeine Geologie, Geophysik","General geology, geophysics"
Historische Geologie,Historical geology
"Mineralogie, Boden-, Gesteins- und Lagerstättenkunde","Mineralogy, soil, rock and deposit science"
"Meteorologie, Klimatologie, Hochatmosphäre, Magnetosphäre","Meteorology, climatology, high atmosphere, magnetosphere"
"Astronomie, Weltraumforschung","Astronomy, space research"
"Physik (Allgemeines), Mathematische Physik","Physics (General), Mathematical Physics"
"Mechanik, Wärme, Akustik","Mechanics, heat, acoustics"
"Elektrizität, Magnetismus, Optik","Electricity, magnetism, optics"
"Elementarteilchen, Kern-, Atom-, Molekularphysik","Elementary particles, nuclear, atomic and molecular physics"
"Plasma, Gas, Flüssigkeit, Festkörper","Plasma, gas, liquid, solid"
Chemie (Allgemeines),Chemistry (General)
Theoretische und Physikalische Chemie,Theoretical and physical chemistry
Analytische Chemie und Untersuchungsmethoden,Analytical chemistry and test methods
Anorganische Chemie,Inorganic chemistry
Organische Chemie,Organic chemistry
Biologie allgemein,Biology in general
"Genetik, Evolution","Genetics, evolution"
"Biochemie, Biophysik, Zytologie","Biochemistry, biophysics, cytology"
Mikrobiologie,Microbiology
Untersuchungsmethoden (Biologie),Research methods (biology)
Mathematik,Mathematics
"Stochastik, Operations Research","Stochastics, Operations Research"
"Informatik, Datenverarbeitung","Computer science, data processing"
Informatikprodukte (Hardware- und Softwareprodukte),IT products (hardware and software products)
"Verfahrenstechnik, Technische Chemie","Process engineering, technical chemistry"
"Werkstoffkunde, Werkstoffprüfung","Materials science, materials testing"
Technikgeschichte,History of technology
Technik (Allgemeines),Technology (General)
"Technische Physik, Technische Mathematik","Technical physics, technical mathematics"
"Mess-, Steuerungs- und Regelungstechnik","Measurement, control and regulation technology"
Lebensmitteltechnologie,Food technology
"Textiltechnik, Gummi- und Lederverarbeitung","Textile technology, rubber and leather processing"
Holzbearbeitung,Woodworking
"Papierherstellung, Grafische Technik","Papermaking, Graphic technology"
"Glas, Keramik, Steine und Erden","Glass, ceramics, stones and earths"
Militärtechnik,Military technology
"Sanitärtechnik, Umwelttechnik","Sanitary technology, environmental technology"
Ortsgebundene Bauwerke,Local buildings
Architektur,Architecture
Bautechnik,Construction engineering
"Bergbau, Hüttentechnik","Mining, metallurgy"
"Energietechnik, Kerntechnik","Energy technology, nuclear technology"
Maschinenbau,Mechanical engineering
"Fahrzeugbau, Fördertechnik, Raumfahrttechnik","Vehicle construction, conveyor technology, aerospace technology"
Fertigungstechnik,Manufacturing technology
Feinwerktechnik,Precision engineering
"Elektrotechnik, Elektrische Energietechnik","Electrical engineering, electrical power engineering"
"Elektronik, Nachrichtentechnik","Electronics, communications engineering"
Beendigung,Termination
Nutzung,Utilization
Benutzung,Usage
Verknüpfe mit Anwendungsgebiet,Link to application area
Veranstaltung,event
Zitatensammlung,Zitatensammlung
Vernetzung,networking
Ümlaiper,converter
Interoperabilität,interoperability
Wirtschaftlichkeit,economic efficiency
Fahreignung,fitness to drive
Postwertzeichen,postage stamp
Telekommunikationswirtschaft,telecommunications industry
Wasserstraße,waterway
Götheborg ship,
Güterverkehr,freight transport
"Motor ship belonging to the ""White Fleet"" for scheduled services in the Ruhr Valley between Mülheim an der Ruhr and Essen-Kettwig; in operation from 1927 to 1941, then confiscated and converted by the Nazis; a new ship ""Oberhausen"" then operated on the same route from 1954-2011",
Young Dear Ship,
Bohlbrücke,
Verkehrszeichen,traffic signs
Amélie Schiff,
Boules-des-Moulins,
Freimachung,postage
Wertzeichen,postage stamp
Joseph von Fraunhofer railroad train,
"Würzburg ship, 1883-1895",
Count Götzen ship,
Straße,street
Schönbrunn ship,
Postsendung,mailing
Lötschberg ship,
Briefsendung,letter delivery
Erdöltankschiff,oil tanker
"Joh. L. Krüger,ship",
Kaufmann für Spedition und Logistikdienstleistung,Forwarding and logistics services clerk
Kauffrau für Spedition und Logistikdienstleistung,Forwarding and logistics services clerk
Eilzustellung,express delivery
Postzustellung,mail delivery
Lisa from Lübeck Ship,
Transport- und Logistikberuf,Transportation and logistics profession
Josef Schürmann 12,
Jos. Schürmann 12,
"Alexander von Humboldt Ship, 1967-2004",
Fähre,ferry
"The wheeled boat RK XIV ""Oscar Huber"" was built in 1922. Until 1927 the boat was called ""Wilhelm von Oswald"", after 1927 ""Fritz Thyssen"" and from 1940 ""Oscar Huber"". After a shipyard overhaul, the boat was anchored at the Schifferbörse in 1973 as a floating maritime museum and was opened in 1974",
"Wilhelm von Oswald,Ship",
Gjöa,
Doulos Phos,
"Doulos,ship",
MV Doulos Phos,
MV Doulos,
"Preis,Auszeichnung","Prize, award"
Königssee railroad train,
IC Königssee,
FD Königssee,
"Rita Dölling,ship",
Georg Büchner ship,
DÜWAG large-capacity wagon,
Wädensweil ship,
Double screw steamer Wädensweil,
"Wädenswil,ship",
"Peter von Danczk,ship",
Öffentlicher Personennahverkehr,
Autofähre,car ferry
Zweijährige Ausbildung,Two-year training program
Gaststätte,restaurant
Speiseplanung,meal planning
Hunauhütte anniversary 2006,
"Hunauhütte,History 2006",
Tourismuskaufmann (Kaufmann für Privat- und Geschäftsreisen),Tourism salesperson (salesperson for private and business travel)
Tourismuskauffrau (Kauffrau für Privat- und Geschäftsreisen),Tourism salesperson (salesperson for private and business travel)
Umweltbelastung,environmental impact
Nachhaltigkeit,sustainability
"Development project of Forschungszentrum Jülich on behalf of the Federal Ministry of Education, Science, Research and Technology",
Carl Friedrich von Martius Environmental Award,
Environmental award for companies in Baden-Württemberg,
Verunreinigung,contamination
Umweltverschmutzung,Umweltverschmutzung
Münster Environmental Award,
Environmental Award of the City of Münster,
Rekultivierung,recultivation
Raumordnung,regional planning
Grünfläche,green space
Begrünung,landscaping
Grüngürtel,green belt
Landesplanung,Landesplanung
Natur- und Landschaftspfleger,nature and landscape conservationist
Stadtentwicklung,urban development
Naturnahe Gestaltung,Natural design
Stadtplanung,urban planning
Stadtsanierung,urban renewal
Landschaftsplanung,landscape planning
Dorferneuerung,village renewal
Gartengestaltung,landscape design
Landschaftsgestaltung,landscaping
Regionalförderung,regional development
Großprojekt,large-scale project
Förderungsprogramm,Förderungsprogramm
Regionalplanung,Regionalplanung
Kauffrau in der Grundstücks- und Wohnungswirtschaft,Commercial clerk in real estate management
Kaufmann in der Grundstücks- und Wohnungswirtschaft,Commercial clerk in real estate management
Immobilienwirtschaft,real estate industry
Strukturbildung,structuring
Musterbildung,pattern formation
Kyffhäuser large-scale nature conservation project in the Kyffhäuser Nature Park,
