Code,Field,Value,Signals,Reasons
gnd:4130238-2,Name,Beendigung,1,suffix_patterns
gnd:4120814-6,Name,Nutzung,1,suffix_patterns
gnd:4120814-6,Related Subjects,Benutzung,1,suffix_patterns
gnd:4132532-1,Definition,Verknüpfe mit Anwendungsgebiet,2,"umlaut/ß;common_words:mit,verknüpfe"
gnd:4138130-0,Definition,Verknüpfe mit Anwendungsgebiet,2,"umlaut/ß;common_words:mit,verknüpfe"
gnd:4139212-7,Definition,Verknüpfe mit Anwendungsgebiet,2,"umlaut/ß;common_words:mit,verknüpfe"
gnd:4150167-6,Definition,Verknüpfe mit Anwendungsgebiet,2,"umlaut/ß;common_words:mit,verknüpfe"
gnd:4165163-7,Definition,Verknüpfe mit Anwendungsgebiet,2,"umlaut/ß;common_words:mit,verknüpfe"
gnd:4181605-5,Related Subjects,Veranstaltung,1,suffix_patterns
gnd:4186957-6,Definition,Verknüpfe mit Anwendungsgebiet,2,"umlaut/ß;common_words:mit,verknüpfe"
gnd:4188732-3,Definition,Verknüpfe mit Anwendungsgebiet,2,"umlaut/ß;common_words:mit,verknüpfe"
gnd:4191596-3,Definition,verknüpfe mit Anwendungsgebiet,2,"umlaut/ß;common_words:mit,verknüpfe"
gnd:4221498-1,Definition,Verknüpfe mit Anwendungsgebiet,2,"umlaut/ß;common_words:mit,verknüpfe"
gnd:4221530-4,Definition,Verknüpfe mit Anwendungsgebiet,2,"umlaut/ß;common_words:mit,verknüpfe"
gnd:4253131-7,Definition,Verknüpfe mit Anwendungsgebiet,2,"umlaut/ß;common_words:mit,verknüpfe"
gnd:4280079-1,Related Subjects,Nutzung,1,suffix_patterns
gnd:7794671-6,Related Subjects,Zitatensammlung,1,suffix_patterns
gnd:4359141-3,Name,Vernetzung,1,suffix_patterns
gnd:4454878-3,Alternate Name,Ümlaiper,1,umlaut/ß
gnd:4760029-9,Name,Interoperabilität,1,umlaut/ß
gnd:7859045-0,Related Subjects,Wirtschaftlichkeit,1,suffix_patterns
gnd:4124893-4,Name,Fahreignung,1,suffix_patterns
gnd:4195959-0,Name,Postwertzeichen,1,suffix_patterns
gnd:4227329-8,Name,Telekommunikationswirtschaft,1,suffix_patterns
gnd:4279429-8,Related Subjects,Wasserstraße,1,umlaut/ß
gnd:4312278-4,Name,Götheborg ship,1,umlaut/ß
gnd:4324506-7,Related Subjects,Güterverkehr,1,umlaut/ß
gnd:7788572-7,Definition,"Motor ship belonging to the ""White Fleet"" for scheduled services in the Ruhr Valley between Mülheim an der Ruhr and Essen-Kettwig; in operation from 1927 to 1941, then confiscated and converted by the Nazis; a new ship ""Oberhausen"" then operated on the same route from 1954-2011",2,"umlaut/ß;common_words:an,der"
gnd:4411261-0,Related Subjects,Güterverkehr,1,umlaut/ß
